globalID_A,globalID_B
BE57514,BE6920
EH772876,EH772876
AN74568,AN74568
BB96138,BB96138
EH542814,EH542814
DD103631,DD103631
EM13217,EM13217
EH834805,EH708685
BN465966,BN465966
CL66960,CL66960
EH1028021,EH1028021
EH855513,EH855513
BL430454,BL430454
DH27559,DH27559
CG47557,CG47557
DX36545,DX36545
CW62224,CW224138
CW353578,CW181441
BP30275,BP30275
DX60112,DX60112
CW586285,CW116611
CW86584,CW698009
EF134106,EF134106
CW263081,CW950342
ER42823,ER42823
DB220908,DB220908
CW51803,CW51803
BN70472,BN117631
AL199227,AL199227
CW54836,CW100681
EP23672,BY428632
EH287729,EH897140
DZ41913,DZ41913
BB54577,AR6305
DP39398,DP39398
DL230885,DL230885
EH858833,EH858833
CM4175,CM4175
EH931808,EH931808
DD67160,DD67160
BL38726,BL38726
CJ160097,CJ160097
CC62671,CC62671
BY174845,BY53581
EH379677,EH194006
BR112187,BR112187
BY654132,BY654132
EN55188,EN55188
CW275236,CW273413
DT25213,DT25213
BY607278,BY607278
DH61216,DH61216
DJ17100,DJ17100
CW1364831,CW1051215
EH887549,EH1001691
BY518856,BY518856
BR171684,BR171684
AK4359,AK4359
BA3915,BA3915
EH1206728,EH1206728
EH148779,EH852464
EP79658,EP79658
DX5758,DX5758
BL385307,BL385307
BM24712,DA71512
CJ27325,CJ27325
CW1113405,CW1322774
AS22086,AS22086
CW17585,CW214778
DX25875,DX25875
DA116001,DA116001
AN126981,AN126981
EF21112,EF21112
CW1106790,CW1106790
AA176286,AA176286
EF147992,EF147992
EH489266,EF100296
CW1079579,CW1079579
CW1029872,CW579985
EH1247125,EH1247125
EA2246,EA2246
BS9614,EH116105
BY25919,BY109187
AW55406,AW28080
BE264803,BE264803
CW1029872,EF100296
BL493326,BL493326
CA114622,CA114622
DC9060,DC9060
EF5627,EF5627
EL2174,EL2174
CW380699,CW517576
BZ33495,BZ33495
AL55985,AL55985
CW961565,CW937246
EN60567,EN60567
